,기사제목,분류
0,"오석규 경기도의원, GTX-E, 8호선 공용선로 사용 제안",사회
2,"이형섭 국민의힘 예비후보 ""의정부, 이제는 바꿀 때""  [2024 총선]",정치
4,서울 역세권 골목길 용적률 최고 1100% 상향,경제
5,부산 강서구 '지사스포츠파크' 개장,사회
7,"인제대 부산백병원, 특수건강진단기관 평가 '최우수 등급'",생활
9,"민주, '청년전략특구' 서대문갑 총선 후보 5명 압축[2024 총선]",정치
11,서병수 국민의힘 부산 북구갑 후보 선거사무소 개소,사회
13,"33개 의과대 교수협, 의대증원 취소 행정소송 제기",사회
15,"[속보]민주, 서대문갑에 성치훈·김동아·권지웅 등 5명 후보 확정",정치
17,"민주, 대전 중구 박용갑 전 중구청장 공천[2024 총선]",정치
19,"[속보]민주, 박용갑 대전 중구 전략공천",정치
21,"윤재옥 ""민주당, 시스템 공천과는 거리가 먼 사천'[2024총선]",정치
23,‘백현동 수사무마’ 정바울 “곽 변호사에 8억2000만원 줘”,사회
25,"유아인 지인 ""대리처방 부탁 받아…메시지 삭제 지시는 없었다""",사회
27,"부산시설공사·부산적십자, 지역 사회공헌 캠페인",사회
29,"BNK부산은행, 지역 문화예술 위해 3천만원 전달",사회
31,부산·지역대 반려동물 놀이터 조성,사회
32,상용화 앞둔 UAM에 전투 드론까지… 민관학 신기술 뽐낸다,사회
34,"BPA, 20년 연속 흑자… 신용도 최상위",사회
35,아이돌 공연·경품…'잘파' 사로잡은 부산대 입학식,사회
37,르노코리아 세정협조 공로 '장관 표창',사회
39,부산시 전문 인력 키우고 구인난 업종에 매칭,사회
40,"""중대재해법 유예를""… 부산 중기인 5000명 결집",사회
42,킥보드 타다 버스로 갈아타도 환승 할인,사회
43,1인당 국민소득 다시 대만 추월,경제
44,부영 직원이 받은 출산지원금 세금 안낸다 [청년 지원 팔걷은 정부],경제
45,[단독]꿈쩍않는 의사들 압박...약사 대체조제 늘린다 [장기화 되는 전공의 파업],정치
47,"이재명, 내일 서울 양천갑 황희 지지 방문[2024 총선]",정치
49,"민주, 사천 논란 권향엽 전략공천 대신 경선 실시…""내일 한동훈 고발""[2024 총선]",정치
51,[부음] 박정욱씨 별세·박효일씨(프로야구 KIA 타이거즈 코치) 부친상,사회
52,BNP파리바은행 서울지점에 도로테 레가조니 신임대표,경제
54,"우리자산운용, 최승재 대표 선임",경제
56,"양병내 통상차관보, 美 SIA 회장 면담",경제
58,이미경 부회장 ‘할리우드 움직이는 비저너리’ 선정,생활
60,"첼리스트 김가은, 샤트 현악콩쿠르 우승",생활
62,"광주은행 ""광주FC의 2024 시즌을 응원합니다""",경제
64,"인천국제공항공사, 獨 뮌헨공항과 항공교육 협력",경제
66,"美 아티스트 슈리칭,'LG 구겐하임 어워드' 수상",경제
68,"양승태 전 대법원장, 로펌 클라스한결 합류",사회
70,[인사] 여성가족부,사회
71,"[fn이사람] ""기후위기 속 치산기술협회 책무 다할 것""",사회
73,"""쌍방울 방북비 대납 이재명에 보고""… 檢,이화영 진술 공개",사회
74,"노소영 ""비서가 26억 횡령"" 고소… 경찰 수사 착수",사회
75,"헌재 ""文정부 '민간임대사업자 등록 말소' 합헌""",사회
76,"5분만에 가짜 판별… 경찰청, 딥페이크 범죄 막는다",사회
77,"강원 대형병원 4곳, 경영 악화 비상 ""정부에 긴급 재정지원 건의할 것""",사회
78,"평산마을 찾은 김동연 경기지사 ""文, 더 큰 역할 해달라 말씀""",사회
80,속도내는 대전 수소트램… 총사업비 1조4782억 확정,사회
82,오래된 논쟁 꺼낸 광주·대구… 지역민심 총선까지 가져갈까 [요동치는 전국 총선판],사회
83,"[fn마켓워치]""30년 동안 기업 거버넌스 개선 안됐다""",경제
85,원광대 의대 교수 5명 '보직 사임'…의대 증원 요구에 반발,사회
87,조희연 교육감 늘봄학교 찾아 운영 점검,사회
89,학폭기록 보존 2년 더 연장 '취업까지 영향',사회
90,"""의대 갈래요"" N수 광풍… 2명중 1명은 성적 향상 어려워",사회
92,역세권 활성화 '주요 간선도로변'까지 확대,경제
93,인천 계양구에 3000가구 대단지 뜬다,경제
95,"공사비 3.3㎡당 1000만원 시대, 강북서 열렸다 [부동산 아토즈]",경제
97,'4대문 입지' 경희궁 유보라 오피스텔 완판,경제
99,"대우건설, 싱가포르서 1484억 규모 채권 발행",경제
100,"한승구 건협 신임회장 ""건설산업 부흥 총력""",경제
102,예상넘은 '3401명'증원 신청… 의대 교수들은 이탈 움직임 [장기화 되는 전공의 파업],사회
104,주말·휴일없이 한명이라도 더... '최후의 보루' 공공의료원 분투 [장기화 되는 전공의 파업],사회
106,"삼성, 최대 고객사 엔비디아 안방서 '5세대 HBM 12단' 공개한다",경제
108,"생산성 30% 향상 '꿈의 2차전지' 나왔다… 금양, 국내 첫 개발",경제
110,개별R&D 묶어 '혁신선도형' 협의체 구성… 예산 대폭 늘린다 [R&D 투자방향 내놓은 대통령실],정치
112,1인당 국민소득 7년째 3만弗 박스권... 저성장·고환율로 멀어진 4만弗 시대,경제
114,'청년주택' 11만가구 연내 공급… 시세의 80%로 분양 [청년 지원 팔걷은 정부],경제
116,신임 금융연구원장에 이항용 한양대 교수 내정,경제
118,"한동훈, 총선 앞두고 다시금 입 조심 당부…""국민 눈높이 맞는 언행해야""[2024 총선]",정치
120,반도체 소부장 기술개발에 1500억 지원,경제
121,대학생 15만명에 '맞춤형' 취업 지원... 10만명에는 국내외 '일 경험' 기회도,사회
122,출산장려금 전액 비과세 '파격'… 여력없는 中企는 소외되나,경제
124,"'스윙보터' 청주 세몰이 韓 ""우리가 하는 건 약속 아닌 실천"" [총선 D-35]",정치
126,"영등포갑 채현일 지원사격한 李 ""與 김영주 공천…이미 승부났다"" [총선 D-35]",정치
128,TK 현역 절반 생환… 물갈이 줄었다,정치
129,선택 기로에 선 민주 컷오프 현역들… 홍영표 거취 촉각,정치
130,서울 강남·대구·울산 '보수 텃밭' 지역구 5곳 與 국민추천제,정치
132,'한부모가족 양육비 선지급' 정책과 공약 사이 원조 논란,정치
133,"""韓문화관광 수준 높이는 첫걸음 되길""···유인촌 장관, 인스파이어 개장식 축사",생활
135,"신원식 국방장관, 국군대전병원 방문 ""국민에 봉사는 軍 본연의 임무""",정치
137,"KCL, 우즈벡에 韓시험인증 인프라 기술 전수",사회
139,K-무브 스쿨 연수생 2418명 모집,사회
140,KT&G 상상마당서 서해수호 용사 추모전,경제
142,"김동철 한전 사장, 전국 돌며 소통 ""주인의식으로 위기 넘자""",경제
144,현장 안전·품질에 혁신 더한다...모든 업무 '디지털전환' 추진 [HDC현대산업개발 미래 먹거리 창출],경제
145,광운대역세권부터 오크밸리까지… 복합개발 영역 무한확장 [HDC현대산업개발 미래 먹거리 창출],경제
147,현대어린이책미술관 6월까지 미출판된 독창적 그림책 전시,경제
148,"세븐일레븐 상품전시회 ""어때요? 놀라운 경험""",경제
150,11번가 '11클로버' 1억 누적접속 대박,경제
152,네가지 맛을 한번에… CU 슈퍼 라지킹 삼각김밥,경제
154,"속초시, 김진태 지사에 道·市 원팀 협업 건의",사회
156,봄맞이 新메뉴만 14종… 이마트 즉석조리 델리 힘싣는다,경제
158,"신세계푸드 ""100% 식물성 순대 맛보세요""",경제
160,"쿠팡 ""명품 주방용품 빅세일""",경제
162,"소상공인 평균 월세 124만원… 10명 중 1명 ""밀린 적 있다""",경제
163,셀트리온 자사주 750억 매입 결정,IT
164,"삼표, 층간소음 저감 고성능 몰탈 개발",경제
165,"녹십자, 졸음 부작용 줄인 알레르기 치료제 '알러젯'",생활
167,"""나만의 특별한 공간"" … 이건마루 비스포크 신제품 '그린'",경제
168,이불 바꾸셔야죠…침구업계 봄 키워드 '호텔베딩·자연',경제
170,"네이버, 누구나 로봇 서비스 개발하는 '오픈 생태계' 연다",IT
172,"KT, 제조기업 신기술 웹 시뮬레이션 지원",IT
174,넥슨 확률 조작 피해자 5826명 소비자원에 집단분쟁조정 신청,IT
175,"""AI가 21세기 산업·생활 전반 혁신""",IT
177,첨단 반도체 버금가는 ‘바이오파운드리’ 구축,IT
179,金·비트코인 나란히 최고치… 달러 약세 전망에 거침없이 상승,경제
180,반도체 1등주만 담아… 신한운용 ETF 70% 수익,경제
181,美금리인하 기대에 MMF·CMA로 자금이동,경제
183,"KB운용, 코스피200 위클리커버드콜 ETF 출시",경제
184,카카오 다음 CIC→콘텐츠 CIC로‥내부 개편 속도,IT
186,"[속보]민주, 권향엽-서동연 국민경선 치르기로..'사천 논란' 돌파",정치
188,증권사 세대교체 바람 속 자리 지킨 수장들,경제
189,IPO 과열로 새내기주 공모가 줄줄이 밴드 상단 뚫었다,경제
191,애플·구글·테슬라 왜 더 떨어져?,경제
192,기대가 실망으로… 초전도체주 급락,경제
193,車·금융주 차익실현한 기관의 다음 타깃은,경제
195,"""돈 때문에 마약 유통하는 20대 늘어…경제적 재활 도와야"" [마약중독과 싸우는 사람들]",사회
197,"대통령실 ""민생토론, 총선과 무관..구체적 문제해결 차원""",정치
199,"'독보적 가스터빈 기술' 두산에너빌리티, 항공엔진 사업 도전장",경제
201,전기 이륜차 배터리 교환 서비스... LG엔솔 독립기업 쿠루 사업 시동,경제
202,재활용페트로 만든 전기차 전용 타이어 '아이온',경제
204,"SK네트웍스, 자사주 소각하고 배당 확대",경제
205,'아시아나화물 인수' LCC 4곳 물망,경제
206,싱가포르 정년퇴직 연령 63→64세로,경제
207,"""인플레전쟁 승리 목전… 서비스물가 잡아야 금리인하 속도""",경제
209,"현대캐피탈, 피치 신용등급 A-로 상향",경제
210,"이복현 ""ELS 일괄배상 없다""… KPI도 기준안에 반영할듯",경제
212,"국민은행 ""제2의 삼진어묵·제주맥주 나오도록 지원""",경제
214,‘교통사고접수증’으로 보험금 청구 가능해진다,경제
215,"GA도 기업평가 받는다… ""소비자 신뢰 제고해 질적 성장""",경제
216,"JB금융, 사외이사 2명 늘린다… 女비중 확대",경제
